FileName,TotalCatchphrases,fcfound100,tfidf100,both100
06_436,2,2,0,1
06_552,2,2,2,2
06_670,3,3,3,3
06_790,6,2,6,6
06_815,4,1,4,4
06_844,4,1,4,4
06_1018,2,2,0,2
06_1086,5,1,0,1
06_1114,2,2,0,0
06_1124,4,4,2,3
06_1184,4,4,4,4
06_1360,5,3,0,3
06_1391,2,2,1,2
07_84,4,4,2,4
07_182,3,3,3,3
07_411,2,2,2,2
07_412,2,1,2,2
07_833,4,4,2,2
07_843,6,3,6,6
07_1428,5,5,5,5
07_1514,4,1,4,4
07_1594,3,3,3,3
09_484,3,2,2,3
09_570,2,2,1,2
09_1340,2,1,0,1
